,load
1053,1.513521449
1054,1.257783891
1055,1.026540459
1056,0.755868337
1057,0.647617107
1058,0.610680377
1059,0.608425836
1060,0.645134778
1061,0.810774553
1062,1.169247561
1063,1.401518458
1064,1.351295686
1065,1.164332878
1066,1.127840547
1067,1.02994368
1068,0.954914798
1069,0.893796687
1070,0.867172562
1071,0.915730869
1072,1.085151287
1073,1.452513778
1074,1.680152781
1075,1.768225613
1076,1.691319423
1077,1.549426942
1078,1.297162197
1079,1.048467561
1080,0.785241311
1081,0.688818991
1082,0.65644819
1083,0.658419305
1084,0.687603036
1085,0.852974084
1086,1.207189189
1087,1.433736161
1088,1.352872745
1089,1.173119186
1090,1.12524628
1091,1.016389006
1092,0.926369271
1093,0.864017868
1094,0.826937008
1095,0.866442111
1096,1.026875987
1097,1.385059642
1098,1.618439769
1099,1.707884096
1100,1.632123154
1101,1.491762476
1102,1.229038485
1103,0.969051367
1104,0.701184407
1105,0.595755432
1106,0.559031554
1107,0.559245574
1108,0.589558377
1109,0.753920063
1110,1.125040681
1111,1.361207354
1112,1.277104586
1113,1.113209548
1114,1.058914298
1115,0.96852729
1116,0.891936874
1117,0.835403612
1118,0.802905515
1119,0.842992254
1120,1.006107814
1121,1.363233313
1122,1.604809838
1123,1.696468469
1124,1.628189731
1125,1.487408914
1126,1.235189046
1127,0.986395883
1128,0.727320447
1129,0.627616637
1130,0.594046073
1131,0.599772793
1132,0.641666431
1133,0.808709379
1134,1.195007078
1135,1.403019229
1136,1.322655167
1137,1.144661457
1138,1.085740511
1139,0.974625374
1140,0.891361794
1141,0.833038686
1142,0.794534279
1143,0.836589085
1144,1.005294692
1145,1.35922575
1146,1.600584438
1147,1.69349743
1148,1.619995293
1149,1.479265835
1150,1.226556581
1151,0.977915373
1152,0.725985788
1153,0.621306928
1154,0.585969324
1155,0.589770365
1156,0.627787511
1157,0.813492597
1158,1.215730282
1159,1.440480158
1160,1.357161212
1161,1.177228223
1162,1.096014793
1163,0.986756244
1164,0.89500483
1165,0.829021587
1166,0.796397247
1167,0.833017331
1168,1.001574153
1169,1.360025086
1170,1.617192891
1171,1.714617775
1172,1.64340651
1173,1.507701667
1174,1.240513767
1175,0.979180271
1176,0.705194616
1177,0.609790613
1178,0.581381523
1179,0.58047091
1180,0.622453261
1181,0.804015431
1182,1.18548779
1183,1.42629577
1184,1.353280731
1185,1.173272714
1186,1.096412722
1187,0.995609696
1188,0.908643999
1189,0.84269715
1190,0.803290509
1191,0.84067078
1192,1.00301539
1193,1.349654242
1194,1.60553116
1195,1.706336125
1196,1.629450827
1197,1.482217947
1198,1.213863742
1199,0.94303467
1200,0.65483913
1201,0.553331917
1202,0.529225164
1203,0.53765669
1204,0.572253717
1205,0.743419805
1206,1.119380851
1207,1.328382692
1208,1.247142604
1209,1.067827783
1210,0.993976174
1211,0.910287411
1212,0.82865382
1213,0.774797639
1214,0.745705748
1215,0.780652141
1216,0.938452347
1217,1.27727333
1218,1.524196463
1219,1.613460469
1220,1.539322522
1221,1.396143742
1222,1.137333175
1223,0.890672048
1224,0.63133161
1225,0.528065584
1226,0.49922994
1227,0.502790455
1228,0.534514283
1229,0.703410718
1230,1.055536535
1231,1.304037632
1232,1.238141887
1233,1.090157824
1234,1.044251218
1235,0.966403311
1236,0.898597201
1237,0.851020766
1238,0.822655125
1239,0.856349871
1240,1.009493264
1241,1.346820004
1242,1.581193149
1243,1.663359877
1244,1.579602277
1245,1.433751553
1246,1.168775511
1247,0.915582374
1248,0.653413682
1249,0.556161308
1250,0.524972944
1251,0.521165067
1252,0.553502671
1253,0.721885917
1254,1.097901151
1255,1.314271342
1256,1.245444173
1257,1.078701667
1258,1.021997469
1259,0.933988449
1260,0.85964617
1261,0.804773583
1262,0.77340838
1263,0.81440727
1264,0.978336062
1265,1.335859596
1266,1.572650689
1267,1.6660099
1268,1.595022929
1269,1.452391684
1270,1.198371111
1271,0.950710356
1272,0.686448062
1273,0.582708646
1274,0.548252672
1275,0.557656143
1276,0.601858395
1277,0.771722327
1278,1.125263958
1279,1.372008859
1280,1.307540766
1281,1.167100123
1282,1.101240026
1283,1.058154703
1284,1.009614182
1285,0.95556368
1286,0.918832605
1287,0.952344885
1288,1.113235514
1289,1.457430649
1290,1.678013201
1291,1.753990837
1292,1.669906758
1293,1.516533649
1294,1.251149685
1295,0.993023308
1296,0.726014426
1297,0.61624509
1298,0.579779078
1299,0.578516131
1300,0.605586823
1301,0.767214562
1302,1.116031671
1303,1.364945866
1304,1.299422622
1305,1.149178948
1306,1.118488648
1307,1.031967992
1308,0.945338611
1309,0.882907902
1310,0.850379148
1311,0.896620663
1312,1.052025904
1313,1.400530007
1314,1.636781508
1315,1.728322916
1316,1.647750319
1317,1.503954991
1318,1.248024401
1319,0.993987124
1320,0.74443539
1321,0.635507978
1322,0.598400278
1323,0.605169876
1324,0.640932705
1325,0.815984765
1326,1.192051251
1327,1.437816791
1328,1.37860234
1329,1.227186703
1330,1.17297032
1331,1.062795574
1332,0.974654957
1333,0.910002313
1334,0.876758756
1335,0.919118525
1336,1.085984207
1337,1.455829518
1338,1.688688745
1339,1.782935604
1340,1.703137219
1341,1.550646626
1342,1.281769923
1343,1.01034164
1344,0.730147541
1345,0.618612721
1346,0.579198727
1347,0.572486957
1348,0.607598595
1349,0.78291855
1350,1.158958747
1351,1.432840226
1352,1.372383869
1353,1.215128385
1354,1.167239299
1355,1.075626501
1356,0.991613167
1357,0.936956962
1358,0.907618611
1359,0.947440266
1360,1.123929593
1361,1.500168621
1362,1.7382394
1363,1.831755277
1364,1.758489669
1365,1.61278507
1366,1.347744723
1367,1.080759011
1368,0.805307988
1369,0.710748709
1370,0.680540849
1371,0.697231331
1372,0.730796846
1373,0.901631363
1374,1.284536797
1375,1.491396674
1376,1.413631511
1377,1.240053691
1378,1.193600581
1379,1.078394935
1380,0.991967882
1381,0.935141295
1382,0.903460339
1383,0.944010611
1384,1.108135302
1385,1.479007554
1386,1.702112685
1387,1.786622117
1388,1.714470317
1389,1.567676512
1390,1.312520584
1391,1.06408273
1392,0.805016598
1393,0.710243369
1394,0.676861456
1395,0.681966041
1396,0.716487495
1397,0.881921618
1398,1.265964646
1399,1.467458737
1400,1.379828246
1401,1.200875968
1402,1.152274965
1403,1.033772448
1404,0.946322886
1405,0.885999747
1406,0.84796557
1407,0.887945836
1408,1.05557751
1409,1.429420671
1410,1.656376776
1411,1.745484545
1412,1.669630562
1413,1.521301657
1414,1.257852852
1415,1.000008202
1416,0.703290926
1417,0.595394044
1418,0.552486959
1419,0.544237807
1420,0.576190138
1421,0.733906514
1422,1.054541726
1423,1.2290057
1424,1.137258296
1425,1.002281947
1426,0.916031099
1427,0.826654652
1428,0.75490824
1429,0.715480302
1430,0.685934462
1431,0.713937069
1432,0.844685944
1433,1.121570902
1434,1.343915736
1435,1.482421051
1436,1.483482643
1437,1.352956738
1438,1.106823905
1439,0.859964009
1440,0.607041757
1441,0.509131938
1442,0.471701061
1443,0.467933343
1444,0.499904784
1445,0.654314032
1446,0.98763193
1447,1.164085387
1448,1.101386189
1449,0.976892019
1450,0.919028091
1451,0.84519343
1452,0.782336035
1453,0.72901805
1454,0.697436187
1455,0.724318743
1456,0.851775151
1457,1.124285134
1458,1.337034968
1459,1.461405179
1460,1.460311476
1461,1.322882726
1462,1.076275369
1463,0.8341862
1464,0.578968054
1465,0.482105319
1466,0.448878514
1467,0.460547139
1468,0.50498951
1469,0.668394226
1470,1.012583871
1471,1.182584926
1472,1.102586499
1473,0.977951355
1474,0.91349086
1475,0.83642171
1476,0.76630543
1477,0.716973093
1478,0.685330443
1479,0.715026481
1480,0.84627639
1481,1.123635464
1482,1.343314222
1483,1.469172346
1484,1.466165771
1485,1.33189272
1486,1.082463196
1487,0.839448689
1488,0.593806717
1489,0.488530311
1490,0.451263218
1491,0.453009496
1492,0.491777005
1493,0.666872808
1494,1.018194388
1495,1.243433791
1496,1.18729248
1497,1.089413578
1498,1.0553996
1499,0.979240706
1500,0.907982688
1501,0.85518736
1502,0.810193121
1503,0.828594778
1504,0.957588142
1505,1.242680635
1506,1.458211315
1507,1.584358865
1508,1.576640113
1509,1.43092486
1510,1.16457353
1511,0.895811396
1512,0.618071143
1513,0.510110957
1514,0.473085289
1515,0.472838653
1516,0.504577133
1517,0.673391022
1518,1.0215716
1519,1.242079225
1520,1.187701239
1521,1.088857773
1522,1.053560358
1523,0.975082939
1524,0.907010682
1525,0.850495112
1526,0.809367791
1527,0.82766528
1528,0.952924144
1529,1.241049495
1530,1.450864601
1531,1.574477272
1532,1.560172721
1533,1.407387565
1534,1.141583852
1535,0.860983809
1536,0.57306045
1537,0.46075857
1538,0.424674484
1539,0.421244149
1540,0.448346087
1541,0.60473843
1542,0.926445484
1543,1.125982082
1544,1.067433014
1545,0.964349685
1546,0.912008038
1547,0.872621939
1548,0.806086784
1549,0.763874291
1550,0.715782452
1551,0.740902668
1552,0.872621299
1553,1.142587099
1554,1.358163413
1555,1.49154146
1556,1.494873566
1557,1.361082036
1558,1.120116642
1559,0.871255903
1560,0.609243055
1561,0.507838773
1562,0.477005894
1563,0.472658079
1564,0.507187047
1565,0.662858111
1566,0.998171547
1567,1.172613383
1568,1.105248039
1569,0.981644421
1570,0.933939767
1571,0.849686392
1572,0.783364936
1573,0.730781109
1574,0.696618327
1575,0.727173437
1576,0.861118816
1577,1.153460829
1578,1.369677919
1579,1.497352177
1580,1.496905345
1581,1.368228221
1582,1.124357668
1583,0.879281877
1584,0.623167055
1585,0.529983618
1586,0.496561939
1587,0.497956368
1588,0.523851029
1589,0.679801655
1590,1.00008813
1591,1.205950835
1592,1.146166012
1593,1.033927123
1594,0.990389662
1595,0.9219109
1596,0.866103876
1597,0.827646517
1598,0.805904004
1599,0.828664218
1600,0.960709964
1601,1.259311417
1602,1.45510445
1603,1.581631365
1604,1.572854445
1605,1.430505725
1606,1.183161213
1607,0.93311047
1608,0.670210357
1609,0.567406373
1610,0.530565427
1611,0.527222633
1612,0.55750345
1613,0.715213068
1614,1.055605241
1615,1.230293374
1616,1.175230479
1617,1.072899345
1618,1.04392526
1619,0.960279707
1620,0.890067295
1621,0.841242363
1622,0.790789288
1623,0.8103415
1624,0.938140469
1625,1.234067995
1626,1.433338529
1627,1.556234197
1628,1.55408456
1629,1.418419297
1630,1.17094996
1631,0.929296433
1632,0.67574031
1633,0.572739937
1634,0.534417701
1635,0.533139934
1636,0.561437073
1637,0.717436289
1638,1.051567284
1639,1.225833106
1640,1.156668819
1641,1.0432339
1642,1.011711107
1643,0.93069351
1644,0.867299295
1645,0.828948645
1646,0.782818046
1647,0.809575824
1648,0.943966602
1649,1.236026254
1650,1.432287593
1651,1.555873051
1652,1.55473003
1653,1.419099769
1654,1.170920104
1655,0.925825073
1656,0.681950741
1657,0.58303785
1658,0.547202448
1659,0.545594044
1660,0.579279171
1661,0.751716486
1662,1.095288771
1663,1.29019425
1664,1.227410648
