,wind
162,3.096416735
163,3.181342337
164,2.887497681
165,2.358671433
166,2.065537284
167,1.890322652
168,2.067347818
169,2.201963479
170,2.294800675
171,2.133003294
172,2.013669192
173,2.086616624
174,2.14232986
175,2.235530603
176,3.474414521
177,5.311295305
178,5.830512946
179,5.993729357
180,6.271722121
181,6.364464473
182,6.265568775
183,5.846776878
184,4.355498288
185,3.067727061
186,2.481802908
187,1.986234108
188,1.443099845
189,1.053907895
190,0.969489416
191,0.738706901
192,0.561823318
193,0.490552905
194,0.415088408
195,0.265568409
196,0.163857114
197,0.102601178
198,0.059635837
199,0.039058244
200,0.060672612
201,0.058381759
202,0.070173923
203,0.155020883
204,0.314646209
205,0.458740935
206,0.534643262
207,0.530272516
208,0.463038889
209,0.313078563
210,0.257297309
211,0.258519615
212,0.275568907
213,0.277439392
214,0.230843901
215,0.224642017
216,0.217014508
217,0.202368276
218,0.18147872
219,0.189005196
220,0.162382005
221,0.157406207
222,0.159069281
223,0.174951002
224,0.297774829
225,0.687742518
226,1.449689632
227,1.963828914
228,2.048157737
229,1.822801241
230,1.335117965
231,0.807697188
232,0.785351197
233,0.948470794
234,1.341641003
235,1.782589037
236,2.119839505
237,2.121865168
238,2.883285863
239,3.650436693
240,4.520624082
241,6.428738808
242,6.605896693
243,6.139024915
244,3.472492825
245,1.772680432
246,0.926833373
247,0.514902922
248,0.52177907
249,0.431989492
250,0.307127206
251,0.172088294
252,0.107504988
253,0.135631585
254,0.214972929
255,0.317389771
256,0.542105417
257,0.63746183
258,0.517822111
259,0.507943273
260,0.670835681
261,1.126035489
262,2.208261205
263,2.623811537
264,1.673666038
265,2.175246931
266,2.405587771
267,2.428112289
268,2.496148472
269,2.269939791
270,2.084489982
271,2.062955347
272,2.418886744
273,2.724406917
274,3.951896681
275,4.505760111
276,5.418086915
277,5.351227335
278,4.866045307
279,5.03177042
280,5.250068869
281,5.20200821
282,4.941821992
283,4.613502454
284,3.861072631
285,2.79413085
286,3.27518154
287,1.268989153
288,0.842693504
289,0.800956795
290,0.867729643
291,0.884155854
292,1.099971045
293,1.274275121
294,1.199625845
295,1.381453676
296,2.101112347
297,4.000939723
298,4.046113189
299,3.969727019
300,3.871412298
301,3.526669705
302,2.929535506
303,1.805001363
304,0.766303088
305,0.863436382
306,0.847269691
307,0.895819466
308,0.694658602
309,0.503859806
310,0.39588791
311,0.274711068
312,0.20361299
313,0.173846639
314,0.149847692
315,0.138234577
316,0.126760996
317,0.10077217
318,0.096617446
319,0.120234575
320,0.20378278
321,0.265936091
322,0.191695375
323,0.119458837
324,0.068954528
325,0.032933066
326,0.020862633
327,0.010800929
328,0.007265668
329,0.013930877
330,0.012843468
331,0.004087819
332,0.006148396
333,0.015843216
334,0.045380274
335,0.102370182
336,0.178201842
337,0.172069353
338,0.22407944
339,0.267073779
340,0.254561287
341,0.309103444
342,0.307164073
343,0.384585315
344,0.690642403
345,0.965543206
346,0.772538575
347,0.564680961
348,0.451047269
349,0.431487213
350,0.378197639
351,0.155577246
352,0.150000329
353,0.214904618
354,0.20070849
355,0.196609807
356,0.17363637
357,0.203379619
358,0.205200683
359,0.198177342
360,0.187841853
361,0.156910693
362,0.119308444
363,0.096524571
364,0.091746942
365,0.09350849
366,0.076409196
367,0.046929887
368,0.023740942
369,0.002590188
370,0.013265594
371,0.038837754
372,0.089992206
373,0.141837219
374,0.135120276
375,0.049992305
376,0.130666997
377,0.165066624
378,0.161040784
379,0.137733515
380,0.126954628
381,0.123546198
382,0.120077238
383,0.107888187
384,0.099671011
385,0.080612789
386,0.047334544
387,0.023201767
388,0.020445164
389,0.018194768
390,0.021716764
391,0.034379111
392,0.054433231
393,0.143872748
394,0.168302534
395,0.203147894
396,0.326184082
397,0.510975063
398,0.556675618
399,0.535032897
400,0.297529395
401,0.271041672
402,0.182903994
403,0.103269364
404,0.056716161
405,0.060232646
406,0.049367256
407,0.043950034
408,0.050491725
409,0.05269212
410,0.07287328
411,0.151121788
412,0.280912966
413,0.3770504
414,0.357335467
415,0.398268555
416,0.549412771
417,0.639997901
418,0.715741098
419,1.111336885
420,1.575843273
421,1.722689749
422,1.43724106
423,0.737190802
424,0.405839982
425,0.450840485
426,0.43760604
427,0.340935745
428,0.239170506
429,0.226346913
430,0.232551487
431,0.237624006
432,0.267574111
433,0.259226813
434,0.271311455
435,0.331534008
436,0.330001726
437,0.260316258
438,0.309210181
439,0.284734591
440,0.394600757
441,0.378884133
442,0.484412084
443,0.315643968
444,0.243237534
445,0.229289925
446,0.173937255
447,0.115857611
448,0.095885811
449,0.184455484
450,0.226800609
451,0.244667134
452,0.24408179
453,0.222886963
454,0.193997324
455,0.188758286
456,0.163877548
457,0.115445938
458,0.071284242
459,0.073242968
460,0.089364242
461,0.095063575
462,0.07258641
463,0.050050015
464,0.055038519
465,0.052885673
466,0.15632388
467,0.243928257
468,0.277956746
469,0.228301303
470,0.095892303
471,0.0409762
472,0.103897732
473,0.185310051
474,0.141765642
475,0.099916946
476,0.102487019
477,0.097215204
478,0.105219293
479,0.114027004
480,0.10628587
481,0.077119726
482,0.043846187
483,0.03366282
484,0.033981637
485,0.032708762
486,0.034562347
487,0.045846358
488,0.066159265
489,0.057004545
490,0.075021686
491,0.207026348
492,0.245828247
493,0.176139115
494,0.134390363
495,0.097581686
496,0.051919717
497,0.062496212
498,0.047879176
499,0.036330979
500,0.02318458
501,0.012967755
502,0.006530853
503,0.003863203
504,0.004267117
505,0.016124112
506,0.009500055
507,0.026161423
508,0.022855275
509,0.038773417
510,0.108932426
511,0.163290287
512,0.300912035
513,0.41563393
514,0.686520046
515,0.707610889
516,0.720210259
517,0.824856715
518,0.852087259
519,0.472000835
520,0.2770128
521,0.663420811
522,1.134013761
523,1.368587742
524,1.878023451
525,3.315275799
526,2.826924233
527,4.589934885
528,5.195941864
529,5.698533643
530,6.509738337
531,6.605896693
532,6.605896693
533,6.605896693
534,6.605896693
535,6.605896693
536,6.605896693
537,6.605896693
538,6.605896693
539,6.605896693
540,6.605896693
