,solar
1559,0
1560,0
1561,0
1562,0
1563,0
1564,0
1565,0
1566,0
1567,0.129515296
1568,0.348996981
1569,1.160474106
1570,1.312824161
1571,1.71059311
1572,2.681975612
1573,2.031195068
1574,2.055635344
1575,1.254963388
1576,0.640601116
1577,0.092608211
1578,0
1579,0
1580,0
1581,0
1582,0
1583,0
1584,0
1585,0
1586,0
1587,0
1588,0
1589,0
1590,0
1591,0.827634171
1592,1.849357805
1593,3.73233365
1594,4.735059489
1595,5.142933006
1596,5.167907866
1597,4.070623733
1598,4.145993527
1599,3.101980166
1600,1.716675178
1601,0.350839469
1602,0
1603,0
1604,0
1605,0
1606,0
1607,0
1608,0
1609,0
1610,0
1611,0
1612,0
1613,0
1614,0.008325844
1615,1.164268108
1616,2.617782657
1617,3.829860744
1618,4.664864722
1619,5.09032241
1620,5.114169835
1621,4.752830751
1622,4.041203845
1623,2.957210621
1624,1.590224898
1625,0.310222024
1626,0
1627,0
1628,0
1629,0
1630,0
1631,0
1632,0
1633,0
1634,0
1635,0
1636,0
1637,0
1638,0
1639,0.198209244
1640,0.516795713
1641,0.478380951
1642,0.497324677
1643,0.812173171
1644,3.268272939
1645,5.034063531
1646,4.137757472
1647,1.997598647
1648,1.246090809
1649,0.330780664
1650,0
1651,0
1652,0
1653,0
1654,0
1655,0
1656,0
1657,0
1658,0
1659,0
1660,0
1661,0
1662,0.055459972
1663,1.393694986
1664,2.935843567
1665,3.620047195
1666,4.750523385
1667,4.703390014
1668,4.972427935
1669,5.161249513
1670,4.376600155
1671,2.992149959
1672,1.984171425
1673,0.433928833
1674,0
1675,0
1676,0
1677,0
1678,0
1679,0
1680,0
1681,0
1682,0
1683,0
1684,0
1685,0
1686,0.075740227
1687,1.429634059
1688,3.06141072
1689,3.120165648
1690,3.131725249
1691,3.407219962
1692,3.874070493
1693,4.236767416
1694,3.359118948
1695,2.572225798
1696,1.764824112
1697,0.450303245
1698,0
1699,0
1700,0
1701,0
1702,0
1703,0
1704,0
1705,0
1706,0
1707,0
1708,0
1709,0
1710,0.081469052
1711,1.374904273
1712,2.37941753
1713,3.758183417
1714,4.46777481
1715,4.962012653
1716,5.462992472
1717,5.055311655
1718,4.319304673
1719,3.118472859
1720,1.723609779
1721,0.388016499
1722,0
1723,0
1724,0
1725,0
1726,0
1727,0
1728,0
1729,0
1730,0
1731,0
1732,0
1733,0
1734,0
1735,0.055154396
1736,0.192128268
1737,0.430551534
1738,1.716475628
1739,1.187367496
1740,1.15647866
1741,2.277193968
1742,2.491110384
1743,1.038781223
1744,1.640235123
1745,0.375516086
1746,0
1747,0
1748,0
1749,0
1750,0
1751,0
1752,0
1753,0
1754,0
1755,0
1756,0
1757,0
1758,0.121137835
1759,1.450361874
1760,1.713111147
1761,2.369254968
1762,3.34139894
1763,3.247451914
1764,3.107108664
1765,2.809585216
1766,2.19055983
1767,1.398218807
1768,0.765913494
1769,0.182786418
1770,0
1771,0
1772,0
1773,0
1774,0
1775,0
1776,0
1777,0
1778,0
1779,0
1780,0
1781,0
1782,0.150340098
1783,1.551151764
1784,3.191721131
1785,4.506770465
1786,4.919924574
1787,5.189025038
1788,5.311087175
1789,5.530325637
1790,4.744281462
1791,3.549348596
1792,2.001428797
1793,0.481443605
1794,0
1795,0
1796,0
1797,0
1798,0
1799,0
1800,0
1801,0
1802,0
1803,0
1804,0
1805,0
1806,0.173068921
1807,1.616380556
1808,3.234147616
1809,4.492410674
1810,4.886291495
1811,4.98171491
1812,5.087438585
1813,4.594104293
1814,4.264811537
1815,3.098757878
1816,1.670302841
1817,0.413975614
1818,0
1819,0
1820,0
1821,0
1822,0
1823,0
1824,0
1825,0
1826,0
1827,0
1828,0
1829,0
1830,0.023240604
1831,0.343283122
1832,0.739130232
1833,0.742569774
1834,0.921939011
1835,1.070044367
1836,0.871211521
1837,0.83922292
1838,0.556073133
1839,0.296798625
1840,0.462549181
1841,0.35365842
1842,0
1843,0
1844,0
1845,0
1846,0
1847,0
1848,0
1849,0
1850,0
1851,0
1852,0
1853,0
1854,0.177034493
1855,1.443497818
1856,2.825999273
1857,3.797337866
1858,4.806322893
1859,5.254574201
1860,5.314061116
1861,5.171387152
1862,4.476011765
1863,3.465693524
1864,1.999451735
1865,0.510853952
1866,0
1867,0
1868,0
1869,0
1870,0
1871,0
1872,0
1873,0
1874,0
1875,0
1876,0
1877,0
1878,0.219047872
1879,1.614248434
1880,2.78698656
1881,4.132408729
1882,4.790669067
1883,5.03241386
1884,5.267231848
1885,4.848923331
1886,3.506990681
1887,1.707457438
1888,1.683943135
1889,0.432879769
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0.022557834
1903,0.317692543
1904,0.873043579
1905,1.892989638
1906,2.887983524
1907,4.374823732
1908,4.514200639
1909,4.700619467
1910,3.940721081
1911,3.055615827
1912,1.762816603
1913,0.471124468
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0.252922135
1927,1.67360373
1928,3.28416406
1929,4.554400098
1930,5.374358462
1931,5.580128545
1932,5.580128545
1933,5.489354801
1934,4.743882691
1935,3.601984426
1936,2.096418385
1937,0.551060824
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0.275266513
1951,1.698922894
1952,3.240198066
1953,4.401063571
1954,5.113817898
1955,5.485107657
1956,5.493997963
1957,5.080496644
1958,4.37586979
1959,3.295960728
1960,1.904734424
1961,0.513846876
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0.224503712
1975,1.222749481
1976,2.318466336
1977,1.597366173
1978,2.470222416
1979,1.755595648
1980,3.279140838
1981,3.731791347
1982,3.548043068
1983,2.605719535
1984,1.509542849
1985,0.407944849
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0.057172571
1999,0.380376618
2000,1.090033768
2001,1.742575651
2002,1.934041707
2003,2.082288388
2004,2.917634119
2005,1.624051419
2006,0.557875751
2007,0.350156127
2008,0.184309126
2009,0.029479263
2010,0
2011,0
2012,0
2013,0
2014,0
2015,0
2016,0
2017,0
2018,0
2019,0
2020,0
2021,0
2022,0.079872868
2023,0.396481387
2024,0.508005718
2025,0.895489605
2026,0.76748606
